Course,Area of Interest,History,Political Science,Sociology,Psychology,Economics,Philosophy,Geography,English,Hindi,Sanskrit,Fine Arts,PE,Logical Reasoning,Memory,Communication,Empathy,Creativity,Critical Thinking,Final Score,Career Options
BA History,Historical Research,86,99,74,50,47,60,46,78,50,50,60,43,47,82,80,41,51,85,66.38,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,100,80,71,51,56,49,55,74,54,58,51,59,42,84,78,46,60,88,68.58,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,97,83,73,57,48,60,41,79,54,46,51,47,54,82,73,56,43,97,68.11,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,83,81,65,49,43,57,51,61,49,43,53,55,54,87,73,47,60,95,67.56,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,97,94,80,52,48,54,52,60,46,48,40,51,47,90,78,56,47,82,66.27,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,80,84,69,46,48,46,48,67,51,41,40,55,44,82,71,47,42,80,62.67,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,84,94,73,42,40,44,53,66,48,54,54,49,52,98,66,56,59,83,66.36,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,86,92,74,50,43,52,46,78,41,49,52,60,45,91,71,59,50,86,66.0,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,80,99,72,48,42,46,45,67,48,44,40,58,49,91,74,48,59,96,68.36,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,99,91,66,41,42,56,44,76,56,56,41,41,44,80,60,58,41,100,66.73,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,85,83,70,56,45,44,59,61,45,50,55,55,40,88,65,55,42,99,65.36,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,98,82,78,59,46,59,48,60,47,46,57,47,40,90,77,49,42,86,68.38,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,95,99,76,41,40,55,51,64,44,48,48,42,58,95,75,42,59,80,69.22,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,90,96,67,43,45,47,59,62,55,42,57,53,57,81,62,55,48,83,64.98,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,83,80,73,60,55,59,47,66,42,56,40,55,51,98,73,45,45,92,69.38,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,87,81,80,40,54,40,44,75,58,43,42,56,56,91,73,60,45,82,66.8,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,84,96,73,60,42,40,59,80,40,42,57,49,42,87,73,57,54,81,67.4,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,81,96,67,40,48,50,55,66,49,42,57,52,46,83,72,59,40,87,67.04,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,95,93,71,58,54,41,41,78,56,59,49,45,54,90,64,40,47,100,68.64,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,91,84,66,43,45,52,59,74,42,47,59,55,52,97,69,58,56,98,67.78,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,100,88,71,60,40,40,54,61,55,47,52,60,40,95,66,44,42,91,68.16,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,98,84,73,44,54,56,53,79,44,51,55,55,60,86,63,40,44,89,66.93,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
