Course,Physics,Chemistry,Biology,Math,English,Hindi,Psychology,CS,Logical Reasoning,Analytical Thinking,Critical Thinking,Problem-Solving,Communication,Creativity,Research Skills,Numerical Aptitude,Empathy,Attention to Detail,Career Option
MBBS,64,80,86,55,77,55,59,51,53,45,86,88,67,52,63,57,94,42,Public Health Specialist
MBBS,66,88,98,50,74,50,57,58,58,40,83,95,67,43,68,53,91,55,Public Health Specialist
MBBS,71,82,80,43,78,49,57,48,49,46,98,85,74,40,68,52,93,56,Medical Researcher
MBBS,65,85,83,55,72,47,40,45,45,51,81,98,77,52,66,51,81,45,Medical Educator
MBBS,71,81,81,40,71,59,60,55,41,56,82,83,73,59,80,56,94,43,Medical Writer
MBBS,79,93,94,43,69,42,42,54,54,45,85,85,65,53,80,54,80,49,Doctor (Physician)
MBBS,61,89,85,41,72,58,43,46,59,50,84,96,76,51,69,40,93,54,Public Health Specialist
MBBS,79,87,95,55,64,52,54,40,46,40,94,88,66,59,70,44,92,51,Public Health Specialist
MBBS,65,82,80,48,62,60,44,42,49,47,91,98,69,50,78,59,89,41,Medical Writer
MBBS,66,91,98,43,76,47,45,42,43,47,83,86,78,56,76,52,90,58,Surgeon
MBBS,68,96,100,56,64,56,58,47,49,59,83,88,65,51,74,58,81,53,Medical Educator
MBBS,72,86,88,49,64,60,40,48,41,47,97,97,63,48,71,55,81,46,Hospital Administrator
MBBS,76,98,86,47,67,60,49,45,54,46,84,87,76,45,68,45,98,58,Surgeon
MBBS,73,97,88,44,71,58,54,46,56,44,90,86,62,46,60,46,90,59,Medical Educator
MBBS,70,91,93,49,68,55,58,52,41,43,83,84,64,40,68,48,91,56,Medical Writer
MBBS,80,94,93,49,65,47,45,45,47,43,82,98,66,60,72,58,81,50,Public Health Specialist
MBBS,73,92,80,57,80,56,54,56,57,44,100,98,70,53,64,47,80,60,Medical Educator
MBBS,60,98,88,57,62,41,57,52,59,48,82,82,79,51,73,50,86,56,Medical Researcher
MBBS,79,88,85,51,73,43,40,53,41,43,99,83,74,46,63,59,89,51,Surgeon
MBBS,64,83,90,46,65,46,53,45,41,54,94,89,75,57,72,53,91,41,Medical Researcher
MBBS,72,93,96,54,61,50,51,46,55,48,86,85,65,54,76,56,97,46,Medical Researcher
MBBS,66,91,100,41,62,59,52,42,41,47,99,96,70,48,71,41,84,46,Public Health Specialist
MBBS,65,83,98,50,78,49,49,45,58,56,92,99,78,57,74,51,93,58,Medical Educator
MBBS,71,99,94,54,73,43,41,47,43,42,91,84,74,54,68,51,90,54,Medical Researcher
MBBS,75,93,100,58,79,45,49,43,45,50,100,86,73,54,71,60,83,48,Surgeon
MBBS,70,87,83,56,61,57,55,50,49,52,100,94,73,44,63,46,82,51,Medical Writer
MBBS,61,81,82,54,80,59,51,40,59,59,99,94,72,56,63,48,97,58,Public Health Specialist
MBBS,72,98,89,56,68,51,45,59,43,50,94,85,78,43,74,40,88,50,Hospital Administrator
MBBS,62,83,83,59,78,42,41,55,56,59,88,98,72,60,69,57,100,45,Public Health Specialist
MBBS,77,98,95,60,71,57,46,57,50,43,86,82,64,44,70,51,88,60,Public Health Specialist
MBBS,71,94,92,57,78,56,46,40,50,44,89,90,80,41,70,43,86,49,Public Health Specialist
MBBS,75,89,87,47,80,45,56,55,53,57,80,82,65,42,76,50,93,48,Medical Educator
MBBS,62,99,80,56,69,42,47,43,57,44,99,94,71,43,69,45,83,60,Hospital Administrator
MBBS,77,84,87,55,74,55,58,48,47,47,96,90,69,46,64,50,88,47,Medical Educator
MBBS,67,94,86,58,75,47,54,47,50,40,81,88,61,51,62,59,100,58,Surgeon
MBBS,68,82,100,41,68,40,59,41,50,59,80,95,78,40,75,55,90,58,Medical Educator
MBBS,67,98,85,49,80,49,41,53,58,59,84,96,70,58,68,57,86,50,Medical Educator
MBBS,64,89,91,44,64,60,49,54,56,45,90,85,65,53,80,51,86,60,Hospital Administrator
MBBS,75,85,80,45,69,42,54,55,57,52,85,96,67,45,60,52,90,44,Medical Writer
MBBS,66,95,88,52,68,45,60,42,60,45,100,87,68,51,71,52,84,40,Doctor (Physician)
MBBS,69,99,85,55,62,59,60,49,40,43,91,94,67,50,74,51,84,41,Hospital Administrator
MBBS,78,86,86,49,69,58,50,49,59,44,87,99,63,44,63,40,87,57,Surgeon
MBBS,72,87,82,51,65,42,55,54,58,40,85,84,76,42,66,46,86,47,Medical Writer
