Student_ID,Recommended_Stream,Math,Science,Biology,English,SocialStudies,Language,LogicalReasoning,AnalyticalSkills,NumericalAbility,Creativity,CommunicationSkills,ArtisticSkills,PracticalSkills
1,PCM,88,93,58,78,49,41,92,83,99,51,70,54,66
2,PCM,83,85,47,74,53,57,86,81,90,43,79,50,68
3,PCM,82,85,44,72,47,59,87,92,93,58,80,57,64
4,PCM,92,88,49,70,47,42,99,92,95,59,64,48,68
5,PCM,87,86,49,73,60,41,81,90,93,51,78,44,73
6,PCM,96,88,46,70,54,52,90,100,99,49,76,45,63
7,PCM,93,97,57,76,40,54,99,100,84,50,80,42,71
8,PCM,87,94,45,69,60,48,98,92,86,58,66,51,67
9,PCM,91,100,46,66,43,44,83,98,87,55,61,58,62
10,PCM,87,88,47,62,44,43,98,99,99,45,70,51,64
11,PCM,98,95,51,79,44,56,95,100,97,58,73,48,79
12,PCM,93,99,51,72,46,55,98,91,83,51,66,55,60
13,PCM,98,88,57,76,43,44,81,88,95,58,78,44,66
14,PCM,97,94,56,69,43,46,81,84,94,60,66,44,67
15,PCM,96,90,46,70,52,53,94,92,91,53,80,48,60
16,PCM,83,91,50,65,56,45,88,89,83,54,72,54,75
17,PCM,87,92,53,71,51,57,99,87,91,58,75,56,74
18,PCM,97,88,45,70,40,52,93,92,87,40,79,54,71
19,PCM,92,86,51,62,52,59,92,91,97,46,65,42,74
20,PCM,97,99,45,77,42,44,81,90,82,58,65,40,76
21,PCM,100,92,60,76,41,44,99,87,96,50,77,40,67
22,PCM,80,98,59,76,59,40,92,89,80,56,76,53,70
23,PCM,89,89,59,69,45,40,93,98,81,58,75,49,65
24,PCM,87,88,56,62,55,54,88,93,98,58,75,57,61
25,PCM,86,95,50,63,46,41,86,97,83,47,61,48,67
26,PCM,89,80,41,60,48,57,99,94,81,52,64,40,61
27,PCM,88,80,49,63,49,54,90,89,96,55,75,56,79
28,PCM,83,86,51,61,47,50,100,99,84,56,74,52,62
29,PCM,82,81,48,77,45,43,97,99,99,46,75,59,72
30,PCM,90,80,56,76,57,59,81,80,89,60,76,60,67
31,PCM,90,93,41,80,52,42,87,83,80,51,70,59,74
32,PCM,82,92,40,60,55,54,90,80,87,60,76,44,61
33,PCM,94,96,47,68,47,56,95,93,98,44,67,59,74
34,PCM,81,86,48,65,50,44,88,94,95,58,73,55,68
35,PCM,92,92,54,75,50,44,100,89,83,48,71,56,71
36,PCM,99,92,43,76,45,58,89,87,94,58,62,50,79
37,PCM,100,88,48,71,43,52,82,85,80,56,69,45,77
38,PCM,82,95,43,75,54,53,80,81,100,50,66,54,80
39,PCM,96,93,41,73,52,55,86,80,93,54,71,57,77
40,PCM,95,85,51,73,54,43,83,98,98,48,71,45,73
41,PCM,97,99,56,73,52,45,84,91,83,58,76,45,61
42,PCM,87,99,59,70,46,44,95,84,81,40,76,40,80
43,PCM,87,98,59,79,44,42,99,93,92,56,79,52,80
44,PCM,81,99,54,62,50,53,89,89,99,41,78,54,68
45,PCM,97,90,50,60,50,47,92,87,83,54,73,44,67
46,PCM,85,99,44,79,51,42,99,96,94,55,61,42,66
47,PCM,93,90,53,73,55,52,93,90,83,44,74,60,66
48,PCM,87,94,58,64,55,46,80,95,83,52,74,58,76
49,PCM,100,86,53,74,60,42,100,99,99,53,66,47,80
50,PCM,91,81,48,65,49,57,94,87,86,48,60,46,74
51,PCM,82,98,41,70,55,52,93,92,84,51,69,55,64
52,PCM,80,91,42,74,43,40,97,86,89,41,61,59,80
53,PCM,95,81,47,63,46,53,98,88,93,43,64,51,78
54,PCM,96,80,59,69,55,47,88,91,81,59,62,53,75
55,PCM,94,94,60,73,54,55,89,81,80,40,75,57,73
56,PCM,81,93,46,62,58,40,95,92,85,41,72,46,62
57,PCM,91,81,40,64,49,44,91,84,90,40,73,46,70
58,PCM,86,90,57,78,50,43,87,90,89,51,64,48,66
59,PCM,90,86,46,71,60,49,89,89,88,56,70,45,64
60,PCM,90,92,59,79,42,48,91,92,98,60,72,52,69
61,PCM,99,97,48,61,56,54,83,100,85,47,70,50,62
62,PCM,94,97,54,62,45,48,90,97,94,45,60,54,66
63,PCM,82,96,53,80,50,45,98,90,88,51,60,50,62
64,PCM,83,95,46,66,55,41,90,87,81,46,77,48,68
65,PCM,80,88,42,71,58,44,82,95,96,49,73,49,69
66,PCM,84,85,57,61,59,59,92,96,88,55,68,56,75
67,PCM,84,91,51,69,54,53,85,97,93,51,64,60,71
68,PCM,84,88,51,60,48,44,81,98,86,43,62,45,65
69,PCM,93,94,44,69,48,48,92,86,100,42,75,57,63
70,PCM,80,82,45,66,55,54,99,84,100,55,79,47,72
71,PCM,88,89,51,60,48,55,88,88,84,40,61,57,60
72,PCM,91,97,60,66,60,50,92,89,83,41,74,60,71
73,PCM,93,85,60,78,56,47,80,84,86,54,72,56,80
74,PCM,89,86,49,77,56,50,90,99,94,40,64,52,73
75,PCM,83,83,41,60,58,45,88,92,87,57,74,49,77
76,PCM,94,91,54,74,48,40,89,97,99,57,68,50,70
77,PCM,82,88,44,67,56,45,84,85,81,40,79,58,73
78,PCM,94,82,41,68,57,44,98,89,100,46,68,41,76
79,PCM,86,94,46,66,54,56,84,96,89,51,61,60,68
80,PCM,86,80,58,80,47,56,81,85,90,49,77,55,71
81,PCM,98,97,53,72,47,54,100,92,81,50,72,42,68
82,PCM,92,87,48,61,55,53,95,82,80,47,78,59,78
83,PCM,90,84,47,68,59,57,91,94,97,52,77,41,67
84,PCM,81,97,49,69,48,41,93,90,90,55,64,43,61
85,PCM,83,95,47,78,44,57,83,82,84,60,72,55,79
86,PCM,80,95,44,69,51,40,91,85,90,49,61,44,74
87,PCM,99,87,51,66,55,56,90,87,97,42,73,59,77
88,PCM,94,96,57,77,55,41,88,99,87,55,73,57,72
89,PCM,82,95,40,70,40,43,97,88,96,57,69,40,73
90,PCM,80,81,50,72,44,58,84,96,85,60,80,60,79
91,PCM,90,89,58,71,56,58,91,99,81,41,75,53,65
92,PCM,93,84,49,78,57,53,91,83,100,52,72,48,75
93,PCM,100,82,59,61,47,51,94,97,94,58,77,56,72
94,PCM,89,84,49,78,47,43,100,84,99,43,67,58,76
95,PCM,85,80,56,75,45,50,93,80,83,45,78,54,62
96,PCM,100,84,60,70,50,52,85,88,87,52,70,50,70
97,PCM,89,84,46,76,45,52,87,83,89,60,61,55,79
98,PCM,84,85,44,67,57,43,94,84,82,44,70,45,62
99,PCM,86,97,45,73,41,46,99,93,93,52,60,41,74
100,PCM,87,81,42,77,54,40,88,97,90,60,61,55,63
101,PCM,94,82,54,74,60,43,91,82,100,54,64,40,61
102,PCM,80,92,60,60,46,57,84,93,80,41,80,56,75
103,PCM,85,80,50,74,55,42,89,85,92,49,77,44,75
104,PCM,94,84,48,71,52,54,90,81,80,41,68,44,77
105,PCM,87,94,53,77,49,55,81,91,96,60,73,54,66
106,PCM,95,85,49,67,40,42,95,85,91,49,73,52,64
107,PCM,81,90,55,75,59,56,97,81,94,49,77,54,64
108,PCM,93,97,53,73,55,60,89,83,84,47,63,60,62
109,PCM,82,80,57,65,60,51,94,97,99,46,78,50,67
110,PCM,98,93,47,77,42,48,85,85,92,52,74,47,60
111,PCM,83,96,53,69,50,42,98,92,95,53,68,58,74
112,PCM,91,93,57,67,43,57,86,97,98,52,68,54,66
113,PCM,88,96,45,75,48,58,87,100,88,53,74,46,61
