Course,Area of Interest,Fine Arts,Creativity,Communication,Empathy,English,Sociology,Memory,Computer Science,Mathematics,Statistics,Accountancy,Business Studies,Economics,Psychology,Hindi,Geography,Biology,Chemistry,Logical Reasoning,Critical Thinking,Numerical Aptitude
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,87,96,94,82,69.0,69,80,53,53,40,44,49,55,60,46,41,47,51,42,52,55
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,48,49,67,60,67.0,60,49,89,56,48,42,46,46,45,58,42,54,54,90,66,94
Diploma in Paramedical Sciences,Healthcare & Allied Services,40,51,73,85,,74,81,49,47,49,48,49,50,57,40,45,82,82,49,66,46
Diploma in Journalism & Mass Communication,Media & Communication,52,76,94,43,92.0,83,60,56,58,57,51,52,58,61,55,43,44,46,75,81,51
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",93,97,63,48,73.0,41,58,83,41,55,58,46,53,50,49,59,55,41,71,98,42
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",85,94,62,54,77.0,57,59,82,41,51,48,58,45,47,46,56,44,55,77,81,47
Diploma in Paramedical Sciences,Healthcare & Allied Services,51,49,64,80,,64,93,45,48,58,54,56,54,57,43,46,80,93,40,66,40
Diploma in Travel & Tourism Management,Tourism & Service Industry,57,47,91,80,89.0,84,49,58,41,57,56,67,59,54,58,65,43,42,57,66,45
Diploma in Retail Management,Retail & Sales Operations,46,45,89,97,96.0,65,63,53,44,54,54,92,42,43,49,56,47,45,48,74,40
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",85,89,68,58,80.0,40,54,84,47,43,60,43,58,47,54,56,58,46,76,81,56
Diploma in Photography,Photography & Visual Arts,98,93,99,40,65.0,79,47,60,40,45,44,57,55,46,48,58,55,50,60,96,44
Diploma in Digital Marketing,Marketing & Online Branding,57,96,92,42,88.0,69,55,85,56,51,53,76,59,43,56,51,53,52,45,69,59
Diploma in Journalism & Mass Communication,Media & Communication,41,70,99,43,91.0,82,50,40,41,47,46,51,58,64,51,43,51,42,72,81,59
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,48,80,85,86,71.0,70,87,44,40,52,49,63,53,42,60,45,58,43,54,55,46
Diploma in Interior Designing,Interior Design & Architecture,98,81,82,44,78.0,77,60,46,51,57,55,45,59,49,49,43,57,40,77,88,53
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,60,93,97,100,72.0,69,100,53,54,50,56,71,48,52,47,44,60,44,46,41,58
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,51,90,87,81,62.0,64,89,59,54,51,47,66,57,49,58,55,59,45,52,51,51
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,53,80,93,82,71.0,78,88,53,51,54,54,61,59,41,52,44,57,44,52,50,60
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,57,92,94,89,80.0,71,80,49,55,45,47,69,45,57,53,54,49,50,53,45,48
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,47,84,84,99,68.0,78,94,48,50,40,44,62,53,51,42,40,57,58,47,54,56
Diploma in Paramedical Sciences,Healthcare & Allied Services,59,49,68,89,,67,94,51,48,47,60,43,47,52,51,58,99,98,40,70,53
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",85,100,62,60,61.0,48,50,98,42,45,54,55,41,52,42,49,45,55,71,87,56
Diploma in Paramedical Sciences,Healthcare & Allied Services,44,55,63,80,,62,81,47,46,55,44,54,47,51,42,46,100,97,42,71,54
Diploma in Paramedical Sciences,Healthcare & Allied Services,40,49,67,95,,76,85,50,41,51,53,45,57,59,55,43,100,98,49,76,57
Diploma in Graphic Designing,Design & Visual Communication,96,84,64,55,68.0,51,43,88,50,49,53,55,42,52,60,57,55,54,78,100,59
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,56,82,89,88,72.0,80,100,56,51,44,56,75,58,43,51,52,46,57,53,45,42
Diploma in Digital Marketing,Marketing & Online Branding,60,92,89,50,97.0,78,50,99,45,56,55,70,51,55,48,52,42,44,60,63,53
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,45,99,80,86,80.0,71,91,53,54,41,60,80,57,45,47,49,46,40,45,43,40
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,52,58,65,58,77.0,59,56,93,60,55,40,56,46,47,41,49,44,59,85,72,89
Diploma in Paramedical Sciences,Healthcare & Allied Services,46,52,73,87,,76,80,51,42,50,54,49,46,57,50,60,96,88,40,69,41
Diploma in Graphic Designing,Design & Visual Communication,95,100,77,53,71.0,54,53,97,53,40,52,40,49,52,59,47,45,40,62,86,45
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,45,100,92,94,63.0,61,86,45,49,41,53,78,54,53,48,50,46,43,52,59,48
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,55,82,88,94,66.0,66,96,48,48,54,46,74,44,48,51,60,44,48,59,57,45
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,47,60,77,45,61.0,40,59,90,41,58,51,57,52,51,41,45,43,53,92,69,98
Diploma in Hotel Management,Hospitality & Service Management,44,47,87,90,93.0,80,69,54,42,43,42,79,56,69,53,40,45,49,54,77,56
Diploma in Paramedical Sciences,Healthcare & Allied Services,53,57,73,83,,79,82,56,42,42,43,52,47,57,44,47,96,81,40,68,55
Diploma in Interior Designing,Interior Design & Architecture,88,100,97,50,76.0,62,51,59,45,43,57,58,56,41,45,43,60,51,70,99,58
Diploma in Journalism & Mass Communication,Media & Communication,54,61,83,44,98.0,86,45,59,47,47,41,40,41,64,57,58,48,50,78,94,52
Diploma in Photography,Photography & Visual Arts,80,91,99,60,60.0,69,56,70,56,47,54,55,57,51,52,52,46,48,48,97,45
Diploma in Digital Marketing,Marketing & Online Branding,42,97,100,54,88.0,62,54,89,49,60,51,74,48,57,49,47,58,60,40,76,52
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",89,92,67,49,67.0,60,43,89,45,40,60,43,54,59,54,59,59,43,74,91,56
Diploma in Travel & Tourism Management,Tourism & Service Industry,55,60,97,87,83.0,90,53,60,47,52,54,72,58,53,54,67,59,46,47,76,59
Diploma in Event Management,Event Planning & Management,54,90,82,76,78.0,85,44,58,42,58,49,82,41,60,54,43,44,51,49,64,48
Diploma in Graphic Designing,Design & Visual Communication,95,80,65,40,73.0,48,46,86,40,49,52,54,59,41,55,48,40,42,76,99,60
Diploma in Retail Management,Retail & Sales Operations,52,44,84,84,89.0,75,66,46,46,54,60,87,56,56,57,44,46,51,44,60,44
Diploma in Event Management,Event Planning & Management,59,90,92,71,62.0,82,42,54,47,41,53,90,49,55,58,49,50,51,49,67,42
Diploma in Retail Management,Retail & Sales Operations,58,53,84,94,95.0,63,72,59,43,52,42,97,60,50,52,45,41,41,48,61,43
Diploma in Event Management,Event Planning & Management,41,91,86,68,79.0,81,49,57,43,51,53,93,43,50,40,58,60,47,45,79,50
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",82,91,61,55,78.0,57,46,98,42,45,49,57,56,55,57,41,42,54,63,96,45
Diploma in Retail Management,Retail & Sales Operations,56,55,96,82,92.0,62,61,59,41,41,55,83,49,48,57,45,48,48,56,65,40
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,93,83,86,96,60.0,76,72,57,53,56,59,41,57,42,40,43,57,40,40,48,52
Diploma in Paramedical Sciences,Healthcare & Allied Services,47,52,72,88,,71,87,45,60,52,51,50,56,42,49,51,95,94,51,61,47
Diploma in Journalism & Mass Communication,Media & Communication,44,64,84,56,97.0,92,42,44,52,49,59,60,47,63,58,50,60,48,77,82,51
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,81,97,100,97,60.0,67,75,51,50,60,57,44,48,45,48,41,46,41,46,44,58
Diploma in Event Management,Event Planning & Management,46,91,84,73,76.0,89,52,60,47,53,50,84,42,41,44,58,48,47,45,76,60
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,80,89,90,88,65.0,63,78,51,57,55,41,41,44,57,42,55,54,53,58,46,53
Diploma in Event Management,Event Planning & Management,48,89,86,77,66.0,81,51,42,44,53,59,81,46,54,49,46,43,56,56,75,50
Diploma in Fashion Designing,"Fashion, Creativity & Design",86,98,94,66,76.0,60,51,57,48,57,55,60,42,54,40,49,46,51,58,94,52
Diploma in Fashion Designing,"Fashion, Creativity & Design",82,80,100,63,60.0,80,59,50,41,59,59,48,48,47,50,46,55,43,41,85,51
Diploma in Digital Marketing,Marketing & Online Branding,41,84,96,49,93.0,66,56,90,57,54,40,63,41,55,54,57,48,45,50,61,55
Diploma in Travel & Tourism Management,Tourism & Service Industry,41,40,99,100,97.0,81,42,47,55,43,54,63,45,50,49,76,47,48,42,66,55
Diploma in Event Management,Event Planning & Management,55,93,90,78,74.0,97,44,44,60,44,49,85,44,44,59,56,42,41,55,79,57
Diploma in Retail Management,Retail & Sales Operations,47,50,85,100,92.0,71,67,51,41,55,52,88,57,51,44,40,57,40,51,73,59
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,81,94,92,86,76.0,79,77,53,51,44,59,52,54,54,56,54,43,45,57,46,53
Diploma in Hotel Management,Hospitality & Service Management,57,44,81,98,82.0,82,66,47,41,50,47,75,56,60,44,49,41,49,50,71,59
Diploma in Photography,Photography & Visual Arts,95,90,89,57,78.0,77,56,67,49,51,40,41,40,40,50,46,53,47,58,93,40
Diploma in Retail Management,Retail & Sales Operations,59,40,92,95,94.0,60,67,54,44,43,47,96,60,57,55,48,40,54,52,79,44
Diploma in Hotel Management,Hospitality & Service Management,53,44,94,80,95.0,99,76,45,60,51,49,68,55,78,46,41,41,56,41,75,44
Diploma in Retail Management,Retail & Sales Operations,50,52,99,94,88.0,79,63,46,48,59,49,84,48,60,47,43,53,53,55,60,47
Diploma in Event Management,Event Planning & Management,51,95,82,66,78.0,95,41,60,46,47,49,80,48,48,43,46,40,60,51,66,44
Diploma in Retail Management,Retail & Sales Operations,59,53,86,83,87.0,68,67,53,47,44,46,82,59,53,46,51,43,45,43,80,42
Diploma in Event Management,Event Planning & Management,55,86,98,63,68.0,97,49,56,58,43,55,89,60,50,59,51,47,53,47,73,42
Diploma in Journalism & Mass Communication,Media & Communication,56,79,86,43,100.0,84,56,59,55,58,46,43,43,69,60,41,60,40,79,94,41
Diploma in Travel & Tourism Management,Tourism & Service Industry,59,58,97,91,96.0,82,44,60,55,51,52,75,58,41,57,80,42,40,48,76,60
Diploma in Event Management,Event Planning & Management,54,93,86,80,68.0,88,48,40,56,51,57,100,41,47,54,57,44,40,55,61,56
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,59,58,66,54,76.0,58,42,85,56,42,45,41,55,40,46,59,48,56,87,72,99
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,48,83,82,85,71.0,69,85,57,44,59,52,65,57,47,45,50,48,51,42,47,48
Diploma in Hotel Management,Hospitality & Service Management,50,57,85,86,99.0,88,78,43,52,44,55,66,59,73,40,41,60,50,60,72,49
Diploma in Interior Designing,Interior Design & Architecture,90,95,93,58,73.0,79,53,54,49,54,57,51,40,52,55,55,44,40,62,86,44
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,49,44,65,47,71.0,48,59,88,45,48,41,41,57,59,41,57,56,46,94,69,93
Diploma in Journalism & Mass Communication,Media & Communication,45,72,88,44,98.0,82,40,60,54,50,55,59,49,69,57,42,53,52,80,93,49
Diploma in Interior Designing,Interior Design & Architecture,91,89,93,50,76.0,65,41,49,52,45,52,40,44,55,49,41,57,60,65,96,55
Diploma in Paramedical Sciences,Healthcare & Allied Services,52,60,77,85,,79,87,44,55,53,60,47,54,57,45,57,98,96,55,69,54
Diploma in Paramedical Sciences,Healthcare & Allied Services,50,54,69,88,,68,91,45,53,40,46,43,57,43,60,48,87,99,55,69,60
Diploma in Graphic Designing,Design & Visual Communication,98,85,66,48,63.0,53,46,85,56,60,47,50,53,60,47,58,56,46,69,91,45
Diploma in Digital Marketing,Marketing & Online Branding,51,85,99,50,88.0,67,51,96,46,42,52,75,57,46,60,50,40,41,59,65,60
Diploma in Fashion Designing,"Fashion, Creativity & Design",84,90,88,78,65.0,79,52,58,40,48,60,43,58,60,49,50,40,55,54,86,43
Diploma in Paramedical Sciences,Healthcare & Allied Services,50,59,77,91,,66,84,59,45,42,55,57,43,54,52,48,88,85,56,70,55
Diploma in Hotel Management,Hospitality & Service Management,46,51,97,100,92.0,96,70,46,52,54,40,65,43,66,52,49,45,44,55,72,55
Diploma in Travel & Tourism Management,Tourism & Service Industry,54,48,88,93,93.0,98,45,56,57,46,46,76,51,49,47,60,41,53,42,60,59
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,80,80,96,92,79.0,64,66,52,53,46,49,60,54,46,42,41,43,55,52,57,51
Diploma in Photography,Photography & Visual Arts,94,88,87,47,62.0,61,58,64,48,50,53,42,40,51,53,43,40,60,45,99,57
Diploma in Photography,Photography & Visual Arts,86,85,97,57,64.0,69,47,66,44,40,51,41,60,50,48,57,49,43,52,92,48
Diploma in Travel & Tourism Management,Tourism & Service Industry,42,56,97,100,99.0,89,43,40,57,56,48,63,47,53,44,72,54,60,50,62,41
Diploma in Digital Marketing,Marketing & Online Branding,53,98,93,54,98.0,69,55,86,40,51,44,78,40,58,42,55,48,54,60,67,58
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,86,83,90,88,73.0,64,64,55,51,46,45,44,43,52,41,48,54,46,53,43,58
Diploma in Digital Marketing,Marketing & Online Branding,57,100,96,41,86.0,72,51,94,59,52,55,67,48,55,54,48,41,42,46,77,56
Diploma in Hotel Management,Hospitality & Service Management,59,44,94,90,94.0,81,69,41,53,55,60,78,57,74,45,53,49,41,43,64,60
Diploma in Digital Marketing,Marketing & Online Branding,55,81,84,43,84.0,60,45,83,50,53,51,73,46,45,45,55,46,54,53,63,41
Diploma in Digital Marketing,Marketing & Online Branding,56,84,95,49,91.0,68,50,81,43,57,43,71,52,56,48,57,44,50,41,65,44
Diploma in Fashion Designing,"Fashion, Creativity & Design",90,95,87,74,60.0,67,47,54,43,46,42,45,53,55,43,49,41,52,47,84,48
Diploma in Paramedical Sciences,Healthcare & Allied Services,43,41,79,98,,74,95,51,53,41,59,51,57,52,59,48,99,88,59,76,57
Diploma in Photography,Photography & Visual Arts,89,97,94,57,65.0,72,47,70,42,49,43,52,57,59,60,53,47,41,46,84,54
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,100,89,83,94,60.0,69,76,48,57,57,54,51,51,48,43,55,55,57,40,40,43
Diploma in Journalism & Mass Communication,Media & Communication,42,66,94,40,91.0,94,51,41,57,43,47,49,41,64,41,57,58,48,71,85,58
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",80,81,77,42,80.0,43,43,83,41,52,55,50,50,43,42,42,48,49,70,81,45
Diploma in Journalism & Mass Communication,Media & Communication,57,69,83,42,100.0,91,52,47,46,51,41,43,59,80,52,44,58,45,71,91,59
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,92,85,96,80,66.0,78,64,50,51,43,47,49,58,46,52,50,43,56,44,56,53
Diploma in Photography,Photography & Visual Arts,98,81,83,40,74.0,62,47,74,53,40,46,60,56,42,49,53,57,58,41,86,50
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,49,80,83,86,61.0,61,85,59,59,41,41,75,51,60,57,48,48,58,51,54,57
Diploma in Interior Designing,Interior Design & Architecture,96,95,95,40,76.0,78,43,40,40,42,52,54,45,42,53,59,60,45,68,93,58
Diploma in Journalism & Mass Communication,Media & Communication,54,60,80,55,82.0,80,49,48,53,60,53,45,45,76,57,41,52,52,60,82,51
Diploma in Digital Marketing,Marketing & Online Branding,44,99,98,60,96.0,70,41,98,44,44,59,64,58,47,50,52,48,57,60,74,44
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,41,91,89,96,61.0,68,98,42,59,43,54,64,41,57,56,40,52,60,57,60,44
Diploma in Event Management,Event Planning & Management,58,82,81,68,60.0,83,41,59,57,42,42,89,56,41,51,54,53,59,52,78,59
Diploma in Travel & Tourism Management,Tourism & Service Industry,53,42,95,90,90.0,97,45,55,48,40,42,75,41,41,50,72,50,53,42,62,47
Diploma in Journalism & Mass Communication,Media & Communication,54,72,87,51,83.0,88,57,60,58,44,48,51,53,63,60,44,47,53,76,86,56
Diploma in Fashion Designing,"Fashion, Creativity & Design",96,81,83,72,62.0,77,58,45,59,57,52,53,53,60,51,45,45,52,59,89,46
Diploma in Hotel Management,Hospitality & Service Management,49,49,82,94,90.0,98,64,57,53,44,44,79,51,64,57,40,59,47,44,63,40
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,57,48,79,44,74.0,58,58,83,59,53,50,43,56,47,41,51,43,40,91,72,82
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,93,81,94,85,74.0,63,65,59,46,47,48,57,42,58,46,53,41,55,57,54,58
Diploma in Digital Marketing,Marketing & Online Branding,41,86,94,57,82.0,80,46,97,40,44,60,80,47,54,40,55,48,57,59,66,60
Diploma in Retail Management,Retail & Sales Operations,43,48,97,81,100.0,75,64,45,45,52,45,87,46,60,51,56,40,43,50,69,53
Diploma in Fashion Designing,"Fashion, Creativity & Design",87,90,95,78,67.0,66,60,54,50,57,48,44,41,41,55,48,40,53,42,93,57
Diploma in Photography,Photography & Visual Arts,88,83,91,45,64.0,60,40,67,45,46,42,49,44,49,47,54,46,60,49,91,42
Diploma in Interior Designing,Interior Design & Architecture,88,93,87,57,77.0,76,42,46,46,43,56,43,41,59,45,49,42,43,63,98,51
Diploma in Event Management,Event Planning & Management,57,90,95,78,60.0,93,58,54,58,48,60,91,40,43,47,41,45,51,47,77,60
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,53,40,71,44,72.0,57,52,88,57,46,49,48,49,60,50,43,59,46,88,67,88
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,48,100,87,98,69.0,60,84,45,53,47,46,75,40,53,47,58,49,42,55,60,48
Diploma in Photography,Photography & Visual Arts,84,85,88,45,69.0,73,47,60,51,50,56,55,55,41,43,51,51,57,57,90,42
Diploma in Fashion Designing,"Fashion, Creativity & Design",91,90,92,79,60.0,68,56,41,44,42,48,59,56,45,42,41,53,48,46,99,59
Diploma in Fashion Designing,"Fashion, Creativity & Design",85,91,100,78,67.0,75,60,52,50,50,60,53,49,54,49,51,51,48,57,82,58
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",86,86,68,60,77.0,48,52,91,60,57,45,47,48,52,43,42,54,45,79,83,46
Diploma in Fashion Designing,"Fashion, Creativity & Design",86,93,89,64,67.0,75,57,41,51,58,58,44,48,50,58,40,57,54,42,96,51
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,87,100,97,83,64.0,68,69,43,49,55,45,40,45,45,46,45,45,47,46,47,56
Diploma in Digital Marketing,Marketing & Online Branding,50,96,98,48,80.0,77,57,80,44,52,54,65,60,47,56,54,44,45,46,65,53
Diploma in Interior Designing,Interior Design & Architecture,80,88,100,53,72.0,78,40,44,60,45,41,42,56,40,50,41,50,40,68,86,47
Diploma in Journalism & Mass Communication,Media & Communication,47,71,96,46,80.0,85,49,58,47,43,60,58,42,72,57,51,53,58,71,93,42
Diploma in Interior Designing,Interior Design & Architecture,90,93,82,41,66.0,68,59,60,58,50,52,53,56,51,52,59,40,46,73,93,54
Diploma in Digital Marketing,Marketing & Online Branding,53,83,93,42,84.0,78,60,91,52,51,42,71,40,40,44,53,54,50,56,67,46
Diploma in Fashion Designing,"Fashion, Creativity & Design",80,92,91,79,64.0,75,41,46,43,54,56,57,52,53,59,60,50,57,56,83,41
Diploma in Digital Marketing,Marketing & Online Branding,43,92,100,51,87.0,70,53,92,52,53,60,61,56,59,45,50,41,44,56,76,49
Diploma in Photography,Photography & Visual Arts,95,94,98,57,73.0,60,53,80,57,50,52,53,45,43,54,48,56,40,48,98,57
Diploma in Interior Designing,Interior Design & Architecture,95,100,92,55,79.0,70,52,47,60,52,53,59,44,52,43,60,47,46,63,84,60
Diploma in Hotel Management,Hospitality & Service Management,59,46,95,99,84.0,81,69,45,52,58,56,62,53,74,45,47,58,51,45,78,47
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",81,80,70,41,65.0,57,50,90,53,49,47,60,43,54,57,43,44,48,73,94,58
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,80,85,90,90,61.0,64,79,60,41,42,60,52,56,60,55,54,49,42,47,41,49
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,41,47,80,52,69.0,53,52,88,57,52,57,47,44,45,53,55,50,41,87,76,85
Diploma in Fashion Designing,"Fashion, Creativity & Design",90,92,82,66,78.0,72,51,53,54,55,50,49,56,59,60,43,47,48,52,85,54
Diploma in Digital Marketing,Marketing & Online Branding,50,83,85,48,82.0,73,53,95,46,53,45,64,58,57,59,51,47,44,45,78,57
Diploma in Retail Management,Retail & Sales Operations,50,57,96,95,92.0,70,77,40,50,51,40,92,52,41,40,47,57,48,42,61,60
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,40,96,96,87,77.0,77,90,60,47,46,47,73,54,40,44,56,42,40,45,48,43
Diploma in Travel & Tourism Management,Tourism & Service Industry,49,56,93,90,90.0,82,44,49,54,44,40,73,43,58,49,73,45,53,52,69,57
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,45,42,76,58,62.0,45,44,80,57,53,54,60,57,51,52,42,46,60,84,80,88
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,82,100,96,97,69.0,80,61,46,40,44,43,54,51,41,49,46,44,46,42,48,52
Diploma in Digital Marketing,Marketing & Online Branding,40,82,96,48,94.0,62,50,99,42,54,41,80,42,52,55,43,44,46,50,80,57
Diploma in Retail Management,Retail & Sales Operations,42,43,95,94,93.0,80,62,49,50,60,59,100,41,55,56,45,60,57,47,68,58
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",81,86,61,55,75.0,43,48,92,42,46,60,52,57,52,40,59,60,50,72,88,59
Diploma in Interior Designing,Interior Design & Architecture,95,88,81,47,64.0,70,57,60,56,58,55,52,41,46,47,55,53,47,69,81,45
Diploma in Journalism & Mass Communication,Media & Communication,48,77,99,50,100.0,94,52,57,40,57,51,40,56,69,45,43,40,51,68,82,57
Diploma in Journalism & Mass Communication,Media & Communication,53,76,88,51,85.0,83,53,45,57,50,47,43,51,60,58,53,45,40,70,94,48
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,86,90,83,80,70.0,73,65,41,60,57,57,44,44,53,53,40,57,40,43,53,42
Diploma in Fashion Designing,"Fashion, Creativity & Design",85,84,93,78,63.0,77,57,50,47,40,50,60,57,59,48,48,43,53,58,94,41
Diploma in Fashion Designing,"Fashion, Creativity & Design",85,94,97,62,65.0,69,53,58,48,47,58,42,55,52,48,43,60,48,43,97,54
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,91,90,92,86,66.0,66,79,47,49,52,48,54,46,55,58,48,49,43,44,58,52
Diploma in Photography,Photography & Visual Arts,81,86,97,60,66.0,68,57,72,48,59,40,57,59,49,56,54,44,44,57,99,51
Diploma in Fashion Designing,"Fashion, Creativity & Design",81,81,95,62,78.0,72,55,59,44,42,50,53,56,49,53,55,50,52,40,91,54
Diploma in Paramedical Sciences,Healthcare & Allied Services,50,44,63,87,,77,84,42,42,47,40,57,41,50,51,42,96,81,59,68,50
Diploma in Event Management,Event Planning & Management,47,92,100,76,69.0,90,49,55,51,51,50,87,49,45,48,48,56,41,43,69,45
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,40,49,73,44,67.0,48,55,100,56,45,55,53,50,41,44,48,51,46,84,74,80
Diploma in Digital Marketing,Marketing & Online Branding,48,88,85,46,87.0,60,59,86,44,44,49,79,46,60,48,59,55,44,40,72,52
Diploma in Event Management,Event Planning & Management,47,95,84,62,60.0,85,54,50,54,60,43,96,56,46,54,52,40,49,42,67,45
Diploma in Retail Management,Retail & Sales Operations,59,45,96,86,95.0,69,67,41,55,41,43,99,59,47,42,53,50,59,51,61,59
Diploma in Journalism & Mass Communication,Media & Communication,52,75,92,44,98.0,87,46,48,54,57,56,43,49,79,56,41,45,60,67,81,59
Diploma in Hotel Management,Hospitality & Service Management,52,46,83,97,99.0,100,62,55,41,40,58,69,44,72,60,49,51,41,60,78,41
Diploma in Hotel Management,Hospitality & Service Management,48,54,95,83,81.0,90,77,58,50,47,42,64,51,73,57,60,52,48,54,75,54
Diploma in Hotel Management,Hospitality & Service Management,51,51,90,97,84.0,89,76,56,55,59,50,63,41,71,59,60,48,58,40,80,46
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,91,92,85,83,76.0,60,78,53,41,48,48,53,60,40,53,57,55,57,57,59,46
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,49,89,95,90,60.0,69,93,51,49,42,55,79,44,45,46,40,50,41,55,44,43
Diploma in Fashion Designing,"Fashion, Creativity & Design",85,81,97,66,75.0,66,60,50,44,47,42,45,47,44,58,59,50,46,41,95,60
Diploma in Travel & Tourism Management,Tourism & Service Industry,45,60,80,85,84.0,83,55,47,41,58,46,63,45,46,40,78,44,43,52,61,49
Diploma in Digital Marketing,Marketing & Online Branding,52,99,93,53,84.0,72,51,98,49,57,59,71,58,60,41,55,57,54,58,70,50
