Physics,Chemistry,Math,CS,Statistics,English,Hindi,Regional,PE,Logical,Analytical,ProblemSolving,Numerical,Verbal,Interest_Area,Suggested_Course,Career Options
98,50,92,92,77,69,48,56,44,87,95,87,100,66,Engineering/CS/IT,CSE-AIML,"AI Engineer, Machine Learning Engineer, Data Scientist, Research Scientist (AI), Computer Vision Engineer, Natural Language Processing Engineer, AI Product Manager"
98,42,85,43,44,62,42,41,83,76,74,96,81,47,Aviation/Defence,NDA,"Army Officer, Navy Officer, Air Force Officer, Defense Analyst, Military Trainer, Intelligence Officer, Aerospace & Defense Consultant"
57,53,99,61,82,74,41,55,49,61,100,47,99,44,Science/Research,B.Sc Statistics,"Statistician, Data Analyst, Risk Analyst, Market Researcher, Biostatistician, Actuary, Quantitative Analyst"
43,58,99,79,88,71,45,59,50,63,95,43,85,45,Science/Research,B.Sc Statistics,"Statistician, Data Analyst, Risk Analyst, Market Researcher, Biostatistician, Actuary, Quantitative Analyst"
95,92,88,47,47,77,54,45,45,60,91,89,84,44,Engineering/CS/IT,Civil,"Civil Engineer, Structural Engineer, Construction Manager, Urban Planner, Environmental Engineer, Transportation Engineer, Site Supervisor"
92,85,92,50,48,78,52,46,46,60,97,86,86,49,Engineering/CS/IT,Mechanical,"Mechanical Engineer, Automotive Engineer, Robotics Engineer, Production Engineer, Thermal Engineer, Design Engineer (CAD/CAE), Aerospace Engineer"
69,94,80,49,56,76,55,56,59,58,90,40,48,54,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
85,40,91,99,72,76,51,42,59,90,86,94,95,68,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
92,93,100,46,45,79,50,53,47,68,85,94,95,55,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
85,45,91,58,44,60,53,42,52,71,97,42,84,59,Science/Research,B.Sc Mathematics,"Mathematician, Data Scientist, Cryptographer, Operations Research Analyst, Quantitative Analyst, Actuarial Scientist, Math Professor / Lecturer"
